med_earn,geometry,city_name
27035,"list(c(-93.274532, -93.274546, -93.274017, -93.26754, -93.267593, -93.267654, -93.270203, -93.274586, -93.274532, 44.937741, 44.934124, 44.934128, 44.934158, 44.937775, 44.941383, 44.941372, 44.941359, 44.937741))",mpls
30080,"list(c(-93.274568, -93.274048, -93.271719, -93.267555, -93.26754, -93.26754, -93.274017, -93.274546, -93.274568, 44.926896, 44.926899, 44.92674, 44.926937, 44.93055, 44.934158, 44.934128, 44.934124, 44.926896))",mpls
40298,"list(c(-93.232582, -93.233002, -93.233032, -93.226944, -93.217211, -93.222864, -93.225735, -93.229723, -93.233174, -93.232582, 44.963974, 44.962761, 44.95916, 44.959183, 44.959212, 44.963818, 44.966158, 44.964464, 44.964227, 44.963974))",mpls
46750,"list(list(c(-93.328904353489, -93.328826, -93.3288487726463, -93.328904353489, 44.9458041507827, 44.945808, 44.9483462072544, 44.9458041507827)), list(c(-93.3288366333508, -93.32878, -93.3288296956647, -93.3288297041669, -93.3288366333508, 44.9505830244846, 44.952063, 44.9520630736924, 44.9520612586939, 44.9505830244846)))",mpls
34681,"list(c(-93.260239, -93.25753, -93.247414, -93.247383, -93.247368, -93.247337, -93.253917, -93.256966, -93.257553, -93.260246, -93.260239, 44.998707, 44.998711, 44.998714, 45.002281, 45.005928, 45.007896, 45.007488, 45.007477, 45.005241, 45.005249, 44.998707))",mpls
36572,"list(c(-93.25494, -93.254929, -93.247345, -93.242264, -93.242256, -93.247353, -93.247364, -93.249901, -93.253712, -93.254967, -93.25494, 44.935938, 44.934139, 44.934116, 44.934116, 44.937733, 44.937733, 44.939548, 44.939548, 44.939548, 44.939548, 44.935938))",mpls
32325,"list(c(-93.237305, -93.227081, -93.222946, -93.217834, -93.217842, -93.220383, -93.220383, -93.221878, -93.227028, -93.235153, -93.238909, -93.237305, 44.948372, 44.948372, 44.948368, 44.948357, 44.951969, 44.951973, 44.953271, 44.953228, 44.953461, 44.953552, 44.950636, 44.948372))",mpls
28206,"list(c(-93.3184616913557, -93.318467, -93.313354, -93.30822, -93.308212, -93.308197, -93.313332, -93.3184552216506, -93.3184616913557, 44.9964342001136, 44.991558, 44.991528, 44.991505, 44.996323, 44.998764, 44.998806, 44.9989059263895, 44.9964342001136))",mpls
46107,"list(c(-93.305019, -93.302109, -93.298266, -93.298256, -93.296789, -93.295441, -93.292725, -93.293083, -93.295639, -93.29818, -93.299683, -93.301437, -93.303543, -93.303421, -93.301331, -93.302406, -93.305122, -93.305019, 44.950481, 44.950325, 44.950321, 44.951954, 44.955543, 44.957336, 44.960918, 44.960918, 44.960922, 44.96093, 44.960934, 44.96088, 44.957634, 44.956367, 44.955212, 44.952957, 44.951138, 44.950481))",mpls
41814,"list(c(-93.275768, -93.273645, -93.270341, -93.267646, -93.265308, -93.260713, -93.262482, -93.264664, -93.257893, -93.25753, -93.25753, -93.260239, -93.267288, -93.270828, -93.275431, -93.275768, 44.99652, 44.992864, 44.990746, 44.989486, 44.990654, 44.989092, 44.991711, 44.992706, 44.995378, 44.998355, 44.998711, 44.998707, 44.998703, 44.998699, 44.998988, 44.99652))",mpls
